,importance
Potential,0.3710654656566363
Age,0.20340438810650713
Reactions,0.07800698044804377
BallControl,0.0648203772733643
GKReflexes,0.0489335714265813
GKDiving,0.0295055975835695
HeadingAccuracy,0.025861810509081616
GKHandling,0.02318989351129075
ShortPassing,0.020928728873187495
Skill Moves,0.014839131779552405
Stamina,0.013960947483650576
GKPositioning,0.009731017411788678
SlidingTackle,0.008291692895502134
Composure,0.007757447349428115
Finishing,0.007532406442540107
